年別,行業,所得收入者人數,[一]所得收入總計[NT],1.受僱人員報酬[NT],[1]本業薪資[NT],[2]兼業薪資[NT],[3]其他收入[NT],2.產業主所得[NT],[1]農業淨收入[NT],[2]營業淨收入[NT],[3]執行業務淨收入[NT],3.財產所得收入[NT],4.自用住宅設算租金收入[NT],5.經常移轉收入[NT],[1]從私人[NT],[2]從政府[NT],[3]社會保險受益[NT],[4]從企業[NT],[5]從國外[NT],6.雜項收入[NT],[二]非消費支出[NT],1.利息支出[NT],2.經常移轉支出[NT],[1]對私人[NT],[2]對政府[NT],[3]社會保險[NT],[4]對國外[NT],[三]可支配所得[NT]
107年,農林漁牧業,1043,977070,259851,236310,-,23541,451310,451310,-,-,8503,84445,172961,100291,8656,64013,-,-,-,93906,39114,54793,11281,14472,29040,-,883164
107年,工業,306410,1042683,772105,605726,1724,164655,110352,-,110352,-,38669,63716,57799,18804,13641,25177,177,-,42,180417,8565,171851,42498,39330,88962,1062,862266
107年,批發及零售業,300550,870813,527257,420542,933,105783,206331,-,206331,-,20361,50804,66030,19122,11858,31541,205,3304,31,134093,5140,128954,32248,23016,71034,2655,736720
107年,運輸及倉儲業,73068,923765,563057,432994,-,130063,205329,-,205329,-,33338,57820,64208,14076,13950,30291,1587,4305,13,156789,7345,149443,44401,27379,77602,61,766977
107年,住宿及餐飲業,106868,615701,384944,326492,596,57856,121680,-,121680,-,20571,30175,58325,15377,12640,29073,1234,-,6,83690,3154,80536,18020,9128,52765,623,532011
107年,出版影音及資通訊業,84914,1005553,782109,608766,1720,171623,65802,-,65802,-,46463,70902,40266,10338,12537,16837,553,-,11,190648,9618,181030,39429,43703,97720,178,814905
107年,金融及保險業,99686,1145394,955288,702296,-,252992,6431,-,6431,-,64809,66514,52352,15045,12831,24297,179,-,-,201746,6188,195558,41723,46003,107615,217,943648
107年,不動產業,10544,1137493,897575,777437,-,120138,34125,-,34125,-,50869,102482,52418,21354,9670,21393,-,-,25,338810,34031,304779,47717,68098,64797,124167,798683
107年,專業、科學及技術服務業,84152,1143908,745930,589347,-,156583,224652,-,224652,-,48848,57493,66984,18865,13612,30621,3886,-,-,197401,7115,190286,36410,59291,88247,6338,946506
107年,支援服務業,63260,652920,469053,389631,5440,73982,53497,-,53497,-,15229,45267,69819,31371,13572,24875,-,-,55,95575,1633,93943,18568,16070,59189,116,557344
107年,公共行政及國防,56028,1131794,956538,711683,-,244855,-,-,-,-,38743,77088,59405,17900,5173,36256,76,-,19,218183,10711,207472,43786,52889,110751,46,913611
107年,教育服務業,65867,994970,834540,652333,13991,168216,4821,-,4821,-,42151,56429,57017,8053,15141,32949,873,-,12,192813,6521,186292,47309,33249,104301,1433,802157
107年,醫療保健及社會工作服務業,76206,1269752,918411,733112,2671,182629,169764,-,169764,-,71317,48493,61759,25350,11298,25111,-,-,8,239209,12792,226417,45294,64564,101592,14967,1030544
107年,藝術、娛樂及休閒服務業,14253,678971,463948,376285,-,87663,78116,-,78116,-,21046,32806,83055,34503,11820,36732,-,-,-,90628,1582,89046,12397,12660,63765,224,588343
107年,其他服務業,87300,722277,313274,265344,-,47930,265984,-,265984,-,14842,40519,87648,19483,17470,50695,-,-,9,98066,3887,94178,29003,13012,48054,4110,624211
107年,無業者,515953,539956,114992,-,110591,4401,-,-,-,-,114193,64671,246052,119200,18218,100869,1116,6649,48,52613,3150,49463,22075,10688,16593,107,487343
108年,總平均,2030824,851300,535324,391033,28342,115949,87301,695,86606,-,70374,52893,105380,39686,13596,50900,575,622,30,144609,7447,137162,37002,30933,67634,1594,706691
108年,農林漁牧業,2629,984767,-,-,-,-,487483,487483,-,-,196326,118742,182216,113020,35666,33531,-,-,-,108257,12501,95756,45453,23394,26908,-,876510
108年,工業,280697,1036641,785243,601952,-,183291,90835,208,90627,-,47992,52610,59948,15535,12910,31386,116,-,14,197207,6753,190454,44351,48143,96107,1853,839434
108年,批發及零售業,317081,888122,577332,454885,1170,121277,162175,-,162175,-,32560,48376,67669,17623,12333,37288,100,324,10,152528,9245,143283,39265,25824,77167,1027,735595
108年,運輸及倉儲業,78353,957017,582643,444410,-,138233,209091,-,209091,-,46605,55304,63361,14516,12227,35927,693,-,14,156298,8251,148048,36605,31183,80180,79,800719
108年,住宿及餐飲業,101401,658605,430728,363811,-,66917,112925,-,112925,-,9210,24846,80780,26385,15892,38461,42,-,116,96276,3940,92336,23902,10166,58145,123,562329
108年,出版影音及資通訊業,83085,967719,780022,589388,-,190634,48038,-,48038,-,34299,47857,57495,12618,13203,29345,32,2297,9,185915,10532,175383,38081,34715,102526,61,781805
108年,金融及保險業,122201,1269844,1079371,785334,-,294037,24188,-,24188,-,53005,53201,60075,14893,13130,30824,374,855,3,261411,16088,245322,57287,71541,115967,527,1008433
108年,不動產業,15371,1116926,883815,668983,-,214832,37445,-,37445,-,56627,61970,77034,30235,12924,33875,-,-,35,237731,18426,219305,82755,51638,84777,134,879195
108年,專業、科學及技術服務業,94294,1070140,720173,571340,-,148833,183619,-,183619,-,56250,55856,54240,17492,12561,22736,1450,-,1,199021,13234,185788,46371,49441,89857,119,871118
108年,支援服務業,58242,721687,523386,429467,-,93918,59617,-,59617,-,27791,38296,72507,22501,10781,35538,-,3688,90,117619,11076,106543,20236,17935,63287,5086,604068
108年,公共行政及國防,65875,1107681,947336,696173,4273,246889,1081,1081,-,-,44609,55458,59196,14228,5566,39402,-,-,-,218122,9214,208908,50318,50895,107681,14,889559
108年,教育服務業,75789,1034084,865067,668265,3310,193492,20582,-,20582,-,38286,42290,67860,9805,14030,44025,-,-,-,191420,5522,185898,45332,34481,105303,783,842664
108年,醫療保健及社會工作服務業,78313,1198998,861902,663151,3267,195483,184142,-,184142,-,62849,39422,50677,13147,9872,27657,-,-,7,253234,11776,241457,65967,61044,95331,19115,945764
108年,藝術、娛樂及休閒服務業,20228,940436,475455,377025,23261,75170,355547,-,355547,-,8134,52283,49017,10955,16253,21809,-,-,-,156642,6535,150106,26670,59712,63617,108,783795
108年,其他服務業,70352,771853,325884,270497,3204,52184,280084,-,280084,-,37193,32096,96595,21209,15656,59730,-,-,-,101277,4488,96790,29763,13800,51753,1475,670575
108年,無業者,566911,525024,101687,-,98255,3432,-,-,-,-,147035,66951,209294,98461,15996,92170,1517,1149,58,56443,3182,53261,23453,11517,17707,584,468581
109年,總平均,2008552,857985,548462,401111,32251,115100,84389,-,84389,-,62922,52064,110128,38470,17092,53530,758,279,19,142788,6999,135789,36879,27308,70777,825,715197
109年,農林漁牧業,1066,604397,518026,436637,-,81389,-,-,-,-,8439,34079,43853,-,17229,26624,-,-,-,83232,30519,52714,1017,8819,42878,-,521165
109年,工業,286867,1067039,855387,654602,459,200327,47206,-,47206,-,45845,56994,61603,15076,16606,27992,1000,930,3,212385,10458,201928,48189,46559,106609,571,854654
109年,批發及零售業,314057,943215,554716,438591,503,115623,224033,-,224033,-,39216,48031,77207,21422,14979,40300,505,-,13,144998,6900,138098,35654,22761,79171,512,798216
109年,運輸及倉儲業,70043,872606,565693,435887,-,129806,147569,-,147569,-,23834,53325,82174,9253,23991,48930,-,-,11,153283,6682,146601,34897,27980,83724,-,719323
109年,住宿及餐飲業,116217,658270,397134,336440,-,60694,138445,-,138445,-,14031,30478,78174,13626,16823,46994,46,685,7,89135,4582,84554,19003,10405,54918,228,569135
109年,出版影音及資通訊業,86935,997383,846221,651849,-,194371,19556,-,19556,-,31927,41461,58212,17341,16048,24188,635,-,6,208026,11519,196507,46131,37204,113172,-,789357
109年,金融及保險業,103871,1138780,963426,695673,911,266842,5749,-,5749,-,48996,55846,64759,19550,18360,26744,105,-,5,227547,9372,218175,55283,44641,118250,-,911233
109年,不動產業,15882,1899768,726575,571383,-,155193,889687,-,889687,-,87952,72975,122578,22345,14015,86219,-,-,-,217086,23456,193631,66422,44768,82441,-,1682682
109年,專業、科學及技術服務業,97134,982093,710580,559604,1015,149961,139219,-,139219,-,33036,41601,57657,13307,16767,26855,728,-,-,175054,5983,169070,46614,28783,93665,9,807040
109年,支援服務業,66880,687524,517847,435353,-,82493,6205,-,6205,-,39743,36876,86833,24000,15155,47065,613,-,21,107478,3051,104427,23275,16177,64975,-,580047
109年,公共行政及國防,54412,1142385,981212,705810,9840,265562,-,-,-,-,35792,54418,70962,17997,7951,45014,-,-,-,233998,11944,222054,65135,42201,114718,-,908387
109年,教育服務業,86901,1058066,853815,662077,7637,184100,29924,-,29924,-,40452,46692,87183,15932,16094,53115,2042,-,-,202011,12031,189980,47636,35570,106764,10,856055
109年,醫療保健及社會工作服務業,74216,1369667,1043499,818497,12776,212227,175344,-,175344,-,46407,50071,54339,9449,15755,28608,528,-,7,293721,11748,281973,71140,87978,108577,14278,1075945
109年,藝術、娛樂及休閒服務業,18038,614079,476710,388096,-,88614,57056,-,57056,-,17279,21626,41407,1859,11938,27610,-,-,-,108882,1667,107214,27913,10583,68718,-,505197
109年,其他服務業,69315,778246,426473,358760,-,67713,175499,-,175499,-,27696,53423,95116,22268,16771,56077,-,-,39,119028,10304,108725,36253,14817,57655,-,659217
109年,無業者,546716,522020,116451,-,113674,2777,-,-,-,-,130486,62055,212980,96124,19501,95724,1238,392,48,50279,2587,47691,21082,10193,15971,445,471742
110年,總平均,1989534,880983,542060,400361,30428,111271,87674,-,87674,-,76831,51846,122561,41112,20199,58033,1282,1935,11,150463,7607,142856,38565,31960,70846,1485,730520
110年,農林漁牧業,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110年,工業,263224,1170575,887914,690217,439,197259,98436,-,98436,-,50587,55738,77890,17530,19012,39347,119,1883,9,219240,9265,209975,47490,50837,108423,3224,951335
110年,批發及零售業,283825,1025746,590966,470714,756,119496,242999,-,242999,-,66598,50949,74222,15280,17608,40689,646,-,13,171907,9401,162505,39404,37716,83567,1818,853840
110年,運輸及倉儲業,63838,901007,594280,453470,-,140810,151259,-,151259,-,24308,49143,82017,20138,26528,34814,537,-,-,159491,11905,147586,33132,30242,84213,-,741516
110年,住宿及餐飲業,87951,705632,412910,352447,-,60463,171973,-,171973,-,11386,29992,79362,17804,19441,41687,429,-,9,98541,3814,94727,23282,10202,61242,-,607092
110年,出版影音及資通訊業,81889,1087139,926358,709904,-,216454,4173,-,4173,-,47899,46896,61813,9033,19034,20591,16,13139,-,211064,13313,197750,37025,45552,115173,-,876075
110年,金融及保險業,101426,1405877,1175418,868389,-,307030,15078,-,15078,-,77982,65343,72032,16883,19978,35164,7,-,23,287815,13519,274297,58848,84560,130889,-,1118062
110年,不動產業,16439,1265110,910597,697550,-,213047,215000,-,215000,-,45624,37895,55994,7273,17626,31096,-,-,-,247057,17493,229564,69774,46467,89314,24010,1018053
110年,專業、科學及技術服務業,90705,1175249,851573,655533,-,196040,156556,-,156556,-,41813,60598,64708,10711,18567,34857,573,-,-,238725,14324,224401,45112,68394,107983,2912,936524
110年,支援服務業,53892,687342,547649,457917,-,89732,13197,-,13197,-,11171,43588,71706,12833,17538,40886,72,377,31,115526,8075,107451,21464,14236,71751,-,571816
110年,公共行政及國防,47390,1072505,939503,702964,-,236539,-,-,-,-,30503,43120,59379,3530,9638,45738,473,-,-,210308,7037,203271,43041,37455,119496,3279,862197
110年,教育服務業,83897,1052230,827278,654199,8765,164315,43768,-,43768,-,36103,66415,78666,16783,20500,37687,462,3233,-,200938,11965,188972,41895,30197,111523,5357,851292
110年,醫療保健及社會工作服務業,69572,1389074,1030673,836456,4941,189276,174777,-,174777,-,54495,58774,70343,8194,16324,45055,770,-,12,268786,9950,258836,59578,82869,113223,3166,1120288
110年,藝術、娛樂及休閒服務業,16901,669823,461601,390067,-,71534,101683,-,101683,-,16638,14186,75696,26492,21681,27523,-,-,19,91308,5302,86006,12888,6124,66994,-,578515
110年,其他服務業,67756,896969,460855,391131,-,69724,248930,-,248930,-,27600,46901,112653,18962,20887,70560,2245,-,31,135314,8551,126764,46080,16788,63896,-,761655
110年,無業者,660829,499389,92727,-,89476,3251,55,-,55,-,137241,51727,217626,93638,22976,95069,2935,3007,12,59545,2647,56898,30935,8043,17759,160,439844
111年, 總平均,1977711,888014,543970,392540,35915,115515,86015,87,85928,-,67433,52825,137766,46719,24047,66027,794,178,6,153095,8101,144994,38511,30483,74403,1597,734919
111年,農林漁牧業,1589,656819,437859,338875,-,98983,108830,108830,-,-,37145,48263,24722,11649,11508,1566,-,-,-,93032,-,93032,9829,15658,67545,-,563787
111年,工業,235979,1272453,965715,713136,-,252579,107915,-,107915,-,53709,61631,83482,28500,24494,30358,129,-,-,250897,13670,237227,49937,64016,120707,2568,1021555
111年,批發及零售業,275912,1034812,624954,501041,498,123415,242767,-,242767,-,35791,48573,82724,20361,21783,40131,450,-,2,179036,8999,170037,44546,37108,88383,-,855776
111年,運輸及倉儲業,73310,979357,621464,453198,-,168267,182922,-,182922,-,34344,49316,91311,18019,26217,42093,4982,-,-,178743,14346,164398,40815,25054,98529,-,800614
111年,住宿及餐飲業,90121,721250,478859,407441,280,71138,117760,-,117760,-,12194,29522,82915,21944,19564,41208,200,-,-,104741,4492,100250,22937,9094,68219,-,616509
111年,出版影音及資通訊業,92918,1204367,1033266,812652,-,220613,13975,-,13975,-,47007,48712,61406,20615,20608,19578,606,-,-,250117,18350,231768,45292,56060,127820,2595,954249
111年,金融及保險業,100864,1223656,1027841,757956,1230,268656,-,-,-,-,64753,59142,71920,18019,25756,27719,425,-,-,244749,14602,230147,47156,44929,138062,-,978907
111年,不動產業,20221,1883804,1062828,776935,27897,257996,422610,-,422610,-,218316,102959,77092,14320,18393,42079,2300,-,-,405492,16257,389235,76070,114632,118707,79825,1478312
111年,專業、科學及技術服務業,82984,1215903,793630,624137,-,169493,220263,-,220263,-,62704,56480,82825,22264,26194,32345,1392,631,-,230588,10952,219636,57793,48719,113125,-,985315
111年,支援服務業,45132,777192,591590,493503,-,98087,31520,-,31520,-,25754,46560,81762,20833,21377,39253,299,-,6,128803,7259,121544,17167,19908,84469,-,648389
111年,公共行政及國防,40843,1217776,986056,721426,169,264461,-,-,-,-,38907,77742,115071,31613,13844,67554,2061,-,-,233016,4430,228586,54201,39758,131521,3106,984760
111年,教育服務業,77207,1066505,852142,677677,1547,172918,23967,-,23967,-,42563,50169,97664,19906,25664,51854,240,-,-,219147,10471,208676,54449,40373,113853,-,847358
111年,醫療保健及社會工作服務業,73505,1185648,914237,721772,5741,186724,113980,-,113980,-,30837,49018,77577,20926,22904,33611,135,-,-,251712,10037,241675,73601,54598,113476,-,933937
111年,藝術、娛樂及休閒服務業,17286,914696,553609,467934,-,85675,234013,-,234013,-,28392,26729,71954,14046,25125,32228,555,-,-,110130,-,110130,14580,12299,83252,-,804566
111年,其他服務業,47386,752159,357732,309276,-,48456,203659,-,203659,-,31472,38423,120873,30275,26171,64079,348,-,-,110134,7321,102813,36561,10616,55635,-,642026
111年,無業者,702455,501845,103304,-,99123,4181,-,-,-,-,108667,53923,235936,90942,25820,117866,881,428,15,54590,2903,51686,24383,8244,18247,813,447255
112年, 總平均,2069694.12,859054.41,513858.57,374476.72,34391.97,104989.88,91128.62,776.34,90352.28,-,68831.84,50211.43,135020.81,43124.45,25986.82,64500.29,1080.48,328.77,3.13,146768.4,7037.47,139730.93,38848.35,25080.18,74700.18,1102.23,712286.01
112年,農林漁牧業,2723.49,1484014.66,430663.74,352601.32,0,78062.42,589976.53,589976.53,0,-,237896.92,60898.08,164579.4,96022.38,29571.15,38985.86,0,0,0,269033.92,0,269033.92,103439.26,88431.82,77162.84,0,1214980.74
112年,工業,243559.47,1237760.65,952120.38,732273.91,504.88,219341.59,113877,0,113877,-,38702.84,54814.57,78245.86,20036.79,27081.18,29686.13,793.89,647.88,0,232142.53,10818.8,221323.72,49091.28,46311.68,125587.3,333.47,1005618.12
112年,批發及零售業,281331.33,962068.99,532524.08,426436.94,275.14,105812,260067.51,0,260067.51,-,39425.03,44431.29,85621.08,22037.3,26374.45,36845.92,363.41,0,0,161261.61,7628.82,153632.79,42512.48,21311.57,88774.59,1034.14,800807.38
112年,運輸及倉儲業,72483.47,1130725.99,729265.78,547320.62,890.49,181054.66,224583.58,0,224583.58,-,32254.14,47923.59,96698.9,36779.4,28762.2,31157.3,0,0,0,205073.53,7215.72,197857.81,41722.04,33060.98,117278.28,5796.51,925652.46
112年,住宿及餐飲業,97032.34,711038.93,417343.06,353104.81,0,64238.25,152152.24,0,152152.24,-,30396.19,23806.21,87341.23,15387.88,27341.37,44074.15,537.83,0,0,105607.89,4800.28,100807.61,25970.25,8072.46,66209.09,555.81,605431.04
112年,出版影音及資通訊業,108128.57,1122144.42,954774.86,741859.23,0,212915.63,22975.16,0,22975.16,-,34716.47,41355.77,68322.16,17483.46,26376.68,22688.62,1578.38,195.01,0,236233.82,10802.29,225431.54,46484.55,50498.69,128443.37,4.92,885910.6
112年,金融及保險業,93370.09,1232458.94,1033445.54,771450.82,0,261994.72,0,0,0,-,56676.69,61760.47,80576.24,26651.55,26075.17,27367.04,482.47,0,0,252854.7,11184.38,241670.32,52485.73,47677.21,141494.82,12.57,979604.24
112年,不動產業,13290.25,1273177.22,907812.09,602557.44,0,305254.66,192833.21,0,192833.21,-,46291.58,46558.97,79681.37,21982.8,24250.91,33447.66,0,0,0,201891.14,0,201891.14,60030.84,56337.84,85454.26,68.2,1071286.08
112年,專業、科學及技術服務業,80070.94,1099877.25,778749.29,611871.4,1105.83,165772.05,146116.1,0,146116.1,-,37494.12,44429.58,93088.15,38098.81,24266.97,30722.38,0,0,0,204107.01,10061.34,194045.67,43909.09,38529.03,111607.54,0,895770.24
112年,支援服務業,53492.01,745295.92,592974.06,496655.4,0,96318.66,4104.26,0,4104.26,-,23644.28,37244.57,87328.75,17258.59,27180.99,42889.17,0,0,0,127139.92,4760.29,122379.63,31483.56,10973.58,79922.48,0,618156
112年,公共行政及國防,42389.45,1220046.92,1028982.09,750834.81,3093.99,275053.29,0,0,0,-,38650.46,55098.59,97315.78,12516.49,16140.41,68571.14,87.73,0,0,241628.81,11016.55,230612.26,57565.31,41655.16,131391.79,0,978418.11
112年,教育服務業,79970.18,1012225.52,823545.51,669274.64,8397.82,145873.05,39340.01,0,39340.01,-,30772.99,31783.14,86783.87,14274.32,25644.86,46534.81,329.89,0,0,203726.62,9251.45,194475.16,50435.26,32449.07,111579.02,11.81,808498.91
112年,醫療保健及社會工作服務業,74405.23,1192425.44,838770,662761.31,0,176008.69,167628.76,0,167628.76,-,62478.5,54696.29,68851.9,13461.17,24140.92,31179.84,69.97,0,0,250140.78,18376.33,231764.44,60932.57,53806.81,115980.29,1044.78,942284.67
112年,藝術、娛樂及休閒服務業,24435.98,1021336.57,656271.22,532909.21,0,123362.01,188535.02,0,188535.02,-,45858.3,23265.21,107406.82,16644.18,33804.5,55633.92,1324.21,0,0,147759.64,5988.96,141770.68,27814.18,32828.74,81073.86,53.9,873576.93
112年,其他服務業,59931.77,858309.63,355371.66,305945.36,0,49426.3,296889.13,0,296889.13,-,34416.31,37646.94,133985.6,40044.82,28900.44,64846.83,0,193.51,0,133567.13,9621.43,123945.7,41495.45,13541.41,66904.36,2004.48,724742.5
112年,無業者,743079.56,500356.72,97158.45,0,94235.77,2922.68,98.84,0,98.84,-,121317.45,59137.19,222636.07,80245.42,25374.46,114196.75,2160.05,659.4,8.72,59577.63,2995.22,56582.41,27672.94,9288.08,17963.03,1658.35,440779.09
113年,總平均,2077682,892650,544189,391213,40313,112664,79363,392,78971,-,79846,51861,137385,42744,17885,74981,700,1076,6,154717,7387,147329,39511,31048,75131,1639,737934
113年,農林漁牧業,1569,668118,1285,0,0,1285,519774,519774,0,-,28627,57539,60894,664,11504,48727,0,0,0,55749,0,55749,6367,6740,42642,0,612369
113年,工業,223742,1244751,939833,721064,0,218769,131012,0,131012,-,41140,49228,83532,23335,18575,40223,1400,0,5,243105,7622,235483,53384,56396,124536,1167,1001645
